constructorStandingsId,raceId,constructorId,points,position,positionText,wins
28484,1098,117,23.0,2,2,0
28483,1098,9,43.0,1,1,1
28444,1100,117,65.0,2,2,0
28443,1100,9,123.0,1,1,3
28442,1099,1,0.0,10,10,0
28440,1099,213,0.0,9,9,0
28439,1099,3,1.0,8,8,0
28437,1099,51,4.0,6,6,0
28435,1099,6,26.0,4,4,0
28441,1099,210,1.0,7,7,0
28438,1099,214,8.0,5,5,0
28434,1099,117,38.0,2,2,0
28436,1099,131,38.0,3,3,0
28433,1099,9,87.0,1,1,2
28445,1100,6,26.0,4,4,0
28446,1100,131,56.0,3,3,0
28447,1100,51,6.0,8,8,0
28448,1100,214,8.0,6,6,0
28449,1100,3,1.0,10,10,0
28450,1100,213,1.0,9,9,0
28451,1100,210,7.0,7,7,0
28452,1100,1,12.0,5,5,0
28453,1101,9,180.0,1,1,4
28454,1101,117,87.0,2,2,0
28455,1101,6,62.0,4,4,0
28456,1101,131,76.0,3,3,0
28457,1101,51,6.0,8,8,0
28458,1101,214,8.0,6,6,0
28459,1101,3,1.0,10,10,0
28460,1101,213,2.0,9,9,0
28461,1101,210,7.0,7,7,0
28462,1101,1,14.0,5,5,0
28463,1102,9,224.0,1,1,5
28464,1102,117,102.0,2,2,0
28465,1102,6,78.0,4,4,0
28466,1102,131,96.0,3,3,0
28467,1102,51,6.0,8,8,0
28468,1102,214,14.0,6,6,0
28469,1102,3,1.0,10,10,0
28470,1102,213,2.0,9,9,0
28471,1102,210,8.0,7,7,0
28472,1102,1,14.0,5,5,0
28473,1104,9,249.0,1,1,6
28474,1104,117,120.0,2,2,0
28475,1104,6,90.0,4,4,0
28476,1104,131,119.0,3,3,0
28477,1104,51,6.0,8,8,0
28478,1104,214,35.0,5,5,0
28479,1104,3,1.0,10,10,0
28480,1104,213,2.0,9,9,0
28481,1104,210,8.0,7,7,0
28482,1104,1,17.0,6,6,0
28493,1105,9,287.0,1,1,7
28494,1105,117,134.0,3,3,0
28495,1105,6,100.0,4,4,0
28496,1105,131,152.0,2,2,0
28497,1105,51,8.0,8,8,0
28498,1105,214,40.0,5,5,0
28499,1105,3,1.0,10,10,0
28500,1105,213,2.0,9,9,0
28501,1105,210,8.0,7,7,0
28502,1105,1,17.0,6,6,0
28522,1106,1,17.0,6,6,0
28521,1106,210,8.0,8,8,0
28520,1106,213,2.0,10,10,0
28519,1106,3,7.0,9,9,0
28518,1106,214,44.0,5,5,0
28517,1106,51,9.0,7,7,0
28516,1106,131,167.0,2,2,0
28515,1106,6,122.0,4,4,0
28514,1106,117,154.0,3,3,0
28513,1106,9,321.0,1,1,8
28541,1107,210,11.0,7,7,0
28539,1107,3,7.0,9,9,0
28535,1107,6,154.0,4,4,0
28534,1107,117,175.0,3,3,0
28540,1107,213,2.0,10,10,0
28542,1107,1,29.0,6,6,0
28538,1107,214,47.0,5,5,0
28533,1107,9,377.0,1,1,9
28537,1107,51,9.0,8,8,0
28536,1107,131,178.0,2,2,0
28543,1108,9,411.0,1,1,10
28544,1108,117,181.0,3,3,0
28545,1108,6,157.0,4,4,0
28546,1108,131,203.0,2,2,0
28547,1108,51,9.0,9,9,0
28548,1108,214,47.0,6,6,0
28549,1108,3,11.0,7,7,0
28550,1108,213,2.0,10,10,0
28551,1108,210,11.0,8,8,0
28552,1108,1,59.0,5,5,0
28553,1109,9,452.0,1,1,11
28554,1109,117,184.0,3,3,0
28555,1109,6,167.0,4,4,0
28556,1109,131,223.0,2,2,0
28557,1109,51,9.0,9,9,0
28558,1109,214,47.0,6,6,0
28559,1109,3,11.0,7,7,0
28560,1109,213,2.0,10,10,0
28561,1109,210,11.0,8,8,0
28562,1109,1,87.0,5,5,0
28563,1110,9,503.0,1,1,12
28564,1110,117,196.0,3,3,0
28565,1110,6,191.0,4,4,0
28566,1110,131,247.0,2,2,0
28567,1110,51,9.0,9,9,0
28568,1110,214,57.0,6,6,0
28569,1110,3,11.0,7,7,0
28570,1110,213,3.0,10,10,0
28571,1110,210,11.0,8,8,0
28572,1110,1,103.0,5,5,0
28573,1111,9,540.0,1,1,13
28574,1111,117,215.0,3,3,0
28575,1111,6,201.0,4,4,0
28576,1111,131,255.0,2,2,0
28577,1111,51,9.0,9,9,0
28578,1111,214,73.0,6,6,0
28579,1111,3,15.0,7,7,0
28580,1111,213,3.0,10,10,0
28581,1111,210,11.0,8,8,0
28582,1111,1,111.0,5,5,0
28583,1112,9,583.0,1,1,14
28584,1112,117,217.0,4,4,0
28585,1112,6,228.0,3,3,0
28586,1112,131,273.0,2,2,0
28587,1112,51,10.0,9,9,0
28588,1112,214,73.0,6,6,0
28589,1112,3,21.0,7,7,0
28590,1112,213,3.0,10,10,0
28591,1112,210,11.0,8,8,0
28592,1112,1,115.0,5,5,0
28593,1113,9,597.0,1,1,14
28594,1113,117,217.0,4,4,0
28595,1113,6,265.0,3,3,1
28596,1113,131,289.0,2,2,0
28597,1113,51,10.0,9,9,0
28598,1113,214,81.0,6,6,0
28599,1113,3,21.0,7,7,0
28600,1113,213,5.0,10,10,0
28601,1113,210,12.0,8,8,0
28602,1113,1,139.0,5,5,0
28603,1114,9,623.0,1,1,15
28604,1114,117,221.0,4,4,0
28605,1114,6,285.0,3,3,1
28606,1114,131,305.0,2,2,0
28607,1114,51,10.0,9,9,0
28608,1114,214,84.0,6,6,0
28609,1114,3,21.0,7,7,0
28610,1114,213,5.0,10,10,0
28611,1114,210,12.0,8,8,0
28612,1114,1,172.0,5,5,0
28660,1115,213,5.0,10,10,0
28658,1115,214,90.0,6,6,0
28662,1115,1,219.0,5,5,0
28661,1115,210,12.0,9,9,0
28659,1115,3,23.0,7,7,0
28657,1115,51,16.0,8,8,0
28656,1115,131,326.0,2,2,0
28655,1115,6,298.0,3,3,1
28654,1115,117,230.0,4,4,0
28653,1115,9,657.0,1,1,16
28671,1116,210,12.0,9,9,0
28669,1116,3,26.0,7,7,0
28665,1116,6,322.0,3,3,1
28672,1116,1,242.0,4,4,0
28670,1116,213,10.0,10,10,0
28668,1116,214,100.0,6,6,0
28667,1116,51,16.0,8,8,0
28666,1116,131,344.0,2,2,0
28664,1116,117,236.0,5,5,0
28663,1116,9,706.0,1,1,17
28673,1117,9,731.0,1,1,18
28674,1117,117,236.0,5,5,0
28675,1117,6,349.0,3,3,1
28676,1117,131,371.0,2,2,0
28677,1117,51,16.0,9,9,0
28678,1117,214,101.0,6,6,0
28679,1117,3,28.0,7,7,0
28680,1117,213,16.0,8,8,0
28681,1117,210,12.0,10,10,0
28682,1117,1,256.0,4,4,0
28683,1118,9,782.0,1,1,19
28684,1118,117,261.0,5,5,0
28685,1118,6,362.0,3,3,1
28686,1118,131,382.0,2,2,0
28687,1118,51,16.0,9,9,0
28688,1118,214,108.0,6,6,0
28689,1118,3,28.0,7,7,0
28690,1118,213,21.0,8,8,0
28691,1118,210,12.0,10,10,0
28692,1118,1,282.0,4,4,0
28693,1119,9,822.0,1,1,20
28694,1119,117,273.0,5,5,0
28695,1119,6,388.0,3,3,1
28696,1119,131,392.0,2,2,0
28697,1119,51,16.0,9,9,0
28698,1119,214,120.0,6,6,0
28699,1119,3,28.0,7,7,0
28700,1119,213,21.0,8,8,0
28701,1119,210,12.0,10,10,0
28702,1119,1,284.0,4,4,0
28703,1120,9,860.0,1,1,21
28704,1120,117,280.0,5,5,0
28705,1120,6,406.0,3,3,1
28706,1120,131,409.0,2,2,0
28707,1120,51,16.0,9,9,0
28708,1120,214,120.0,6,6,0
28709,1120,3,28.0,7,7,0
28710,1120,213,25.0,8,8,0
28711,1120,210,12.0,10,10,0
28712,1120,1,302.0,4,4,0
28713,1121,9,44.0,1,1,1
28714,1121,6,27.0,2,2,0
28715,1121,131,16.0,3,3,0
28716,1121,1,12.0,4,4,0
28717,1121,117,3.0,5,5,0
28718,1121,15,0.0,6,6,0
28719,1121,210,0.0,7,7,0
28720,1121,215,0.0,8,8,0
28721,1121,3,0.0,9,9,0
28722,1121,214,0.0,10,10,0
28723,1122,9,87.0,1,1,2
28724,1122,6,49.0,2,2,0
28725,1122,131,26.0,4,4,0
28726,1122,1,28.0,3,3,0
28727,1122,117,13.0,5,5,0
28728,1122,15,0.0,8,8,0
28729,1122,210,1.0,6,6,0
28730,1122,215,0.0,9,9,0
28731,1122,3,0.0,7,7,0
28732,1122,214,0.0,10,10,0
28752,1123,214,0.0,10,10,0
28750,1123,215,6.0,6,6,0
28748,1123,15,0.0,9,9,0
28747,1123,117,25.0,5,5,0
28746,1123,1,55.0,3,3,0
28745,1123,131,26.0,4,4,0
28751,1123,3,0.0,8,8,0
28749,1123,210,4.0,7,7,0
28744,1123,6,93.0,2,2,1
28743,1123,9,97.0,1,1,2
28753,1124,9,141.0,1,1,3
28754,1124,6,120.0,2,2,1
28755,1124,131,34.0,4,4,0
28756,1124,1,69.0,3,3,0
28757,1124,117,33.0,5,5,0
28758,1124,15,0.0,9,9,0
28759,1124,210,4.0,7,7,0
28760,1124,215,7.0,6,6,0
28761,1124,3,0.0,8,8,0
28762,1124,214,0.0,10,10,0
28784,1126,6,187.0,2,2,1
28783,1126,9,239.0,1,1,4
28782,1125,214,0.0,9,9,0
28780,1125,215,7.0,6,6,0
28779,1125,210,5.0,7,7,0
28778,1125,15,0.0,10,10,0
28777,1125,117,40.0,5,5,0
28774,1125,6,151.0,2,2,1
28781,1125,3,0.0,8,8,0
28776,1125,1,96.0,3,3,0
28775,1125,131,52.0,4,4,0
28773,1125,9,195.0,1,1,4
28785,1126,131,64.0,4,4,0
28786,1126,1,124.0,3,3,1
28787,1126,117,42.0,5,5,0
28788,1126,15,0.0,10,10,0
28789,1126,210,7.0,7,7,0
28790,1126,215,19.0,6,6,0
28791,1126,3,0.0,9,9,0
28792,1126,214,1.0,8,8,0
28793,1127,9,268.0,1,1,5
28794,1127,6,212.0,2,2,1
28795,1127,131,79.0,4,4,0
28796,1127,1,154.0,3,3,1
28797,1127,117,44.0,5,5,0
28798,1127,15,0.0,10,10,0
28799,1127,210,7.0,7,7,0
28800,1127,215,20.0,6,6,0
28801,1127,3,0.0,9,9,0
28802,1127,214,1.0,8,8,0
28803,1128,9,276.0,1,1,5
28804,1128,6,252.0,2,2,2
28805,1128,131,96.0,4,4,0
28806,1128,1,184.0,3,3,1
28807,1128,117,44.0,5,5,0
28808,1128,15,0.0,10,10,0
28809,1128,210,7.0,7,7,0
28810,1128,215,24.0,6,6,0
28811,1128,3,2.0,8,8,0
28812,1128,214,2.0,9,9,0
28813,1129,9,301.0,1,1,6
28814,1129,6,252.0,2,2,2
28815,1129,131,124.0,4,4,0
28816,1129,1,212.0,3,3,1
28817,1129,117,58.0,5,5,0
28818,1129,15,0.0,10,10,0
28819,1129,210,7.0,7,7,0
28820,1129,215,28.0,6,6,0
28821,1129,3,2.0,9,9,0
28822,1129,214,5.0,8,8,0
28823,1130,9,330.0,1,1,7
28824,1130,6,270.0,2,2,2
28825,1130,131,151.0,4,4,0
28826,1130,1,237.0,3,3,1
28827,1130,117,58.0,5,5,0
28828,1130,15,0.0,10,10,0
28829,1130,210,7.0,8,8,0
28830,1130,215,28.0,6,6,0
28831,1130,3,2.0,9,9,0
28832,1130,214,8.0,7,7,0
28833,1131,9,355.0,1,1,7
28834,1131,6,291.0,2,2,2
28835,1131,131,196.0,4,4,1
28836,1131,1,268.0,3,3,1
28837,1131,117,58.0,5,5,0
28838,1131,15,0.0,10,10,0
28839,1131,210,19.0,7,7,0
28840,1131,215,30.0,6,6,0
28841,1131,3,2.0,9,9,0
28842,1131,214,9.0,8,8,0
28843,1132,9,373.0,1,1,7
28844,1132,6,302.0,2,2,2
28845,1132,131,221.0,4,4,2
28846,1132,1,295.0,3,3,1
28847,1132,117,68.0,5,5,0
28848,1132,15,0.0,10,10,0
28849,1132,210,27.0,7,7,0
28850,1132,215,31.0,6,6,0
28851,1132,3,4.0,9,9,0
28852,1132,214,9.0,8,8,0
28853,1133,9,389.0,1,1,7
28854,1133,6,322.0,3,3,2
28855,1133,131,241.0,4,4,2
28856,1133,1,338.0,2,2,2
28857,1133,117,69.0,5,5,0
28858,1133,15,0.0,10,10,0
28859,1133,210,27.0,7,7,0
28860,1133,215,33.0,6,6,0
28861,1133,3,4.0,9,9,0
28862,1133,214,9.0,8,8,0
28882,1134,214,11.0,8,8,0
28880,1134,215,34.0,6,6,0
28879,1134,210,27.0,7,7,0
28878,1134,15,0.0,10,10,0
28877,1134,117,73.0,5,5,0
28875,1134,131,266.0,4,4,3
28874,1134,6,345.0,3,3,2
28881,1134,3,4.0,9,9,0
28876,1134,1,366.0,2,2,2
28873,1134,9,408.0,1,1,7
28883,1135,9,434.0,1,1,7
28884,1135,6,370.0,3,3,2
28885,1135,131,276.0,4,4,3
28886,1135,1,404.0,2,2,3
28887,1135,117,74.0,5,5,0
28888,1135,15,0.0,10,10,0
28889,1135,210,27.0,7,7,0
28890,1135,215,34.0,6,6,0
28891,1135,3,4.0,9,9,0
28892,1135,214,13.0,8,8,0
28893,1136,9,446.0,1,1,7
28894,1136,6,407.0,3,3,3
28895,1136,131,292.0,4,4,3
28896,1136,1,438.0,2,2,3
28897,1136,117,74.0,5,5,0
28898,1136,15,0.0,10,10,0
28899,1136,210,28.0,7,7,0
28900,1136,215,34.0,6,6,0
28901,1136,3,6.0,9,9,0
28902,1136,214,13.0,8,8,0
28903,1137,9,456.0,2,2,7
28904,1137,6,425.0,3,3,3
28905,1137,131,309.0,4,4,3
28906,1137,1,476.0,1,1,4
28907,1137,117,82.0,5,5,0
28908,1137,15,0.0,10,10,0
28909,1137,210,29.0,7,7,0
28910,1137,215,34.0,6,6,0
28911,1137,3,16.0,8,8,0
28912,1137,214,13.0,9,9,0
28913,1138,9,475.0,2,2,7
28914,1138,6,441.0,3,3,3
28915,1138,131,329.0,4,4,3
28916,1138,1,516.0,1,1,5
28917,1138,117,86.0,5,5,0
28918,1138,15,0.0,10,10,0
28919,1138,210,31.0,7,7,0
28920,1138,215,34.0,6,6,0
28921,1138,3,16.0,8,8,0
28922,1138,214,13.0,9,9,0
28923,1139,9,504.0,2,2,7
28924,1139,6,496.0,3,3,4
28925,1139,131,344.0,4,4,3
28926,1139,1,544.0,1,1,5
28927,1139,117,86.0,5,5,0
28928,1139,15,0.0,10,10,0
28929,1139,210,38.0,6,6,0
28930,1139,215,36.0,7,7,0
28931,1139,3,17.0,8,8,0
28932,1139,214,13.0,9,9,0
28933,1140,9,512.0,3,3,7
28934,1140,6,537.0,2,2,5
28935,1140,131,366.0,4,4,3
28936,1140,1,566.0,1,1,5
28937,1140,117,86.0,5,5,0
28938,1140,15,0.0,10,10,0
28939,1140,210,46.0,6,6,0
28940,1140,215,36.0,7,7,0
28941,1140,3,17.0,8,8,0
28942,1140,214,14.0,9,9,0
28943,1141,9,544.0,3,3,8
28944,1141,6,557.0,2,2,5
28945,1141,131,382.0,4,4,3
28946,1141,1,593.0,1,1,5
28947,1141,117,86.0,5,5,0
28948,1141,15,0.0,10,10,0
28949,1141,210,46.0,7,7,0
28950,1141,215,44.0,8,8,0
28951,1141,3,17.0,9,9,0
28952,1141,214,49.0,6,6,0
28953,1142,9,555.0,3,3,8
28954,1142,6,584.0,2,2,5
28955,1142,131,425.0,4,4,4
28956,1142,1,608.0,1,1,5
28957,1142,117,86.0,5,5,0
28958,1142,15,0.0,10,10,0
28959,1142,210,50.0,6,6,0
28960,1142,215,46.0,8,8,0
28961,1142,3,17.0,9,9,0
28962,1142,214,49.0,7,7,0
28963,1143,9,581.0,3,3,9
28964,1143,6,619.0,2,2,5
28965,1143,131,446.0,4,4,4
28966,1143,1,640.0,1,1,5
28967,1143,117,92.0,5,5,0
28968,1143,15,4.0,10,10,0
28969,1143,210,54.0,7,7,0
28970,1143,215,46.0,8,8,0
28971,1143,3,17.0,9,9,0
28972,1143,214,59.0,6,6,0
28973,1144,9,589.0,3,3,9
28974,1144,6,652.0,2,2,5
28975,1144,131,468.0,4,4,4
28976,1144,1,666.0,1,1,6
28977,1144,117,94.0,5,5,0
28978,1144,15,4.0,10,10,0
28979,1144,210,58.0,7,7,0
28980,1144,215,46.0,8,8,0
28981,1144,3,17.0,9,9,0
28982,1144,214,65.0,6,6,0
